Original,Character,Dialogue,Wordcount
VICKS:There's the town...,Vicks,There's the town...,3
"WEDGE:Hard to believe an Esper's been found intact there, 1000 years after the War of the Magi...",Wedge,"Hard to believe an Esper's been found intact there, 1000 years after the War of the Magi...",17
VICKS:Think it's still alive?,Vicks,Think it's still alive?,4
WEDGE:Probably... ...judging from the urgency of our orders.,Wedge,Probably... ...judging from the urgency of our orders.,8
"VICKS:And this woman, this...sorcerer. Why's she here? I heard she fried 50 of our Magitek Armored soldiers in under 3 minutes.",Vicks,"And this woman, this...sorcerer. Why's she here? I heard she fried 50 of our Magitek Armored soldiers in under 3 minutes.",21
WEDGE:Not to worry. The Slave Crown on her head robs her of all conscious thought. She'll follow orders.,Wedge,Not to worry. The Slave Crown on her head robs her of all conscious thought. She'll follow orders.,18
WEDGE:We'll approach from the east. Move out!,Wedge,We'll approach from the east. Move out!,7
WEDGE:Let's put her on point. No sense taking any risks. Forward!,Wedge,Let's put her on point. No sense taking any risks. Forward!,11
GUARD:Imperial Magitek Armor? Not even Narshe's safe anymore!,Guard,Imperial Magitek Armor? Not even Narshe's safe anymore!,8
"GUARD:Machine-riding, self-important swine! Take this!",Guard,"Machine-riding, self-important swine! Take this!",5
GUARD:Narshe's freedom depends on us!,Guard,Narshe's freedom depends on us!,5
"WEDGE:According to our source, the frozen Esper was found in a new mine shaft. ...Maybe this one...",Wedge,"According to our source, the frozen Esper was found in a new mine shaft. ...Maybe this one...",17
VICKS:I'll handle this. Stand back!,Vicks,I'll handle this. Stand back!,5
"GUARD:We've got 'em trapped, now!",Guard,"We've got 'em trapped, now!",5
GUARD:We must defend the mines!,Guard,We must defend the mines!,5
GUARD:We won't hand over the Esper!! Whelk! Get them!,Guard,We won't hand over the Esper!! Whelk! Get them!,9
VICKS:Hold it! Think back to our briefing......,Vicks,Hold it! Think back to our briefing......,7
WEDGE:What about it?!,Wedge,What about it?!,3
VICKS:Do you recall hearing about a monster that eats lightning......,Vicks,Do you recall hearing about a monster that eats lightning......,10
WEDGE:......and stores the energy in its shell!,Wedge,......and stores the energy in its shell!,7
"VICKS:Right. So whatever you do, don't attack the shell!",Vicks,"Right. So whatever you do, don't attack the shell!",9
WEDGE:Alright already!,Wedge,Alright already!,2
WEDGE:Hey! What's the matter? Do you know something we don't......?,Wedge,Hey! What's the matter? Do you know something we don't......?,10
WEDGE:Where's that light coming from?! Uwaaaaaaa!!!!,Wedge,Where's that light coming from?! Uwaaaaaaa!!!!,6
VICKS:Hey! Wedge......where are you? W......what's happening?!,Vicks,Hey! Wedge......where are you? W......what's happening?!,6
Girl:...... ...... ......,Girl,...... ...... ......,3
GIRL:Where am I...?,Girl,Where am I...?,3
OLD MAN:Whoa! And I only just removed the crown!,Old Man,Whoa! And I only just removed the crown!,8
OLD MAN:Easy! This is a Slave Crown. The others had complete control over you while you were wearing it.,Old Man,Easy! This is a Slave Crown. The others had complete control over you while you were wearing it.,18
GIRL:I can't remember a thing...,Girl,I can't remember a thing...,5
